Date,Hour,Start,End,Activities,Environments,Energylevel,Moodlevel,Alcohol,Objects,People,Namesofusers,Engagement
09.10.18,1,08:00,08:20,Meditating,"home, bed",4,5,,nothing,Alone,,9
09.10.18,2,08:50,09:00,Commuting,outside,4,4,,bike,Alone,,8
09.10.18,3,09:00,13:00,Working,office,3,3,,computer,Co worker,Ueli,3
09.10.18,4,13:00,13:30,Eating,office,4,4,,"book, food",Alone,,6
09.10.18,5,13:30,16:30,Working,office,3,2,,computer,Co worker,Ueli,2
09.10.18,6,16:30,17:00,errands,supermarket,3,3,,nothing,Alone,,7
09.10.18,7,17:00,17:15,Commuting,outside,3,4,,bike,Alone,,7
09.10.18,8,17:15,18:00,errands,"home, kitchen",3,4,,computer,Friends,"Lila, Matthias",7
09.10.18,9,18:00,19:00,Talking,"home, my room",4,2,,phone,family,dad,4
09.10.18,10,19:00,19:30,household,"home, my room",2,3,,,Alone,,5
09.10.18,11,19:30,19:45,Cooking,"home, kitchen",3,3,,Food,Alone,,8
09.10.18,12,19:45,20:15,Eating,"home, kitchen",3,4,Wine,"Food, iPad",Alone,,8
09.10.18,13,20:00,23:00,Netflix,"home, Lilas room",4,4,Wine,TV,Friends,Lila,8
10.10.18,1,07:50,08:00,Commuting,outside,4,4,,bike,Alone,,8
10.10.18,2,08:00,11:00,Working,office,3,3,,computer,Alone,,5
10.10.18,3,11:00,11:15,Commuting,outside,5,4,,bike,Alone,,7
10.10.18,4,11:15,11:45,Cooking,"home, kitchen",4,4,,Food,Alone,,9
10.10.18,5,11:45,13:00,Eating,"home, kitchen",4,4,,"book, food",Alone,,8
10.10.18,6,13:00,16:00,Working,"home, my room",2,2,,computer,Alone,,3
10.10.18,7,16:30,16:40,Commuting,outside,3,4,,bike,Alone,,7
10.10.18,8,16:45,18:00,Sport,sporthall,5,4,,nothing,sportclass,,9
10.10.18,9,19:40,20:00,Commuting,outside,3,4,,bike,Alone,,9
10.10.18,10,20:00,21:00,Culture,bar,4,3,Beer,drinks,Friends,Lila,9
10.10.18,11,21:00,23:00,talking,bar,3,5,Beer,drinks,Friends,Group,9
10.10.18,12,23:00,23:15,Commuting,outside,2,2,,bike,friends,Lila,3
11.10.18,1,08:00,08:20,Commuting,outside,2,3,,bike,Alone,,8
11.10.18,2,09:00,12:00,school project,University,1,1,,Computer,Class,,2
11.10.18,3,12:00,13:00,Eating,outside,2,3,,food,Class,,6
11.10.18,4,13:00,13:10,Commuting,outside,2,3,,bike,Alone,,4
11.10.18,5,13:10,13:25,Meditating,"home, my room",1,3,,nothing,Alone,,7
11.10.18,6,16:00,17:00,Commuting,outside,2,3,,train,alone,,6
11.10.18,7,17:00,18:00,Talking,home,2,4,,,family,"mom, brother",7
11.10.18,8,18:00,19:00,Eating,Restaurant,2,4,Wine,Food,family,mom,8
11.10.18,9,19:00,23:59,Talking,Bar,4,5,Wine,Drinks,Friends,5N,9
12.10.18,1,00:00,01:00,Commuting,outside,2,5,,train,Friends,Lila,9
12.10.18,2,08:40,09:00,Meditating,"home, bed",2,4,,nothing,Alone,,8
12.10.18,3,09:00,12:00,Working,"home, my room",2,1,,computer,Alone,,4
12.10.18,4,12:00,14:00,Eating,"home, kitchen",5,5,,"phone, food",Friends,"Lila, Matthias",9
12.10.18,5,14:00,15:00,Working,"home, my room",2,3,,computer,Alone,,4
12.10.18,6,15:00,16:00,Reading,"home, bed",2,3,,book,Alone,,7
12.10.18,7,16:00,18:00,Netflix,"home, bed",2,3,,Computer,Alone,,4
12.10.18,8,19:00,23:45,Talking,home,4,4,Wine,"Food, Games",Friends,Group,8
12.10.18,9,23:45,23:59,Commuting,outside,2,5,,tram,Friends,"Lila, Ubah",9
13.10.18,1,00:00,02:00,talking,bar,4,2,Beer,drinks,Friends,Group,6
13.10.18,2,09:00,13:00,Netflix,"home, bed",2,2,,computer,Alone,,4
13.10.18,3,13:00,15:00,school project,"home, bed",3,3,,computer,alone,,6
13.10.18,4,15:00,16:00,household,"home, my room",3,2,,my stuff,alone,,5
13.10.18,5,16:00,16:20,Meditating,"home, bed",5,5,,nothing,alone,,8
13.10.18,6,18:00,19:00,Eating,"home, kitchen",1,2,,Food,Friends,,6
13.10.18,7,19:00,22:00,Netflix,"home, bed",2,3,,computer,alone,,8
13.10.18,8,22:00,22:20,Meditating,"home, bed",1,3,,nothing,alone,,7
14.10.18,1,08:20,08:30,Commuting,outside,2,2,,bike,Alone,,8
14.10.18,2,08:30,13:00,Working,office,2,3,,computer,Co worker,Urs,6
14.10.18,3,13:00,13:30,Eating,office,3,4,,"book, food",Alone,,8
14.10.18,4,13:30,17:30,Working,office,4,2,,computer,Co worker,Urs,7
14.10.18,5,17:30,17:40,Commuting,outside,2,2,,bike,Alone,,8
14.10.18,6,17:40,18:40,Talking,"home, my room",4,1,,phone,dad,,2
14.10.18,7,19:45,20:00,Commuting,outside,2,2,,bike,Friends,Lila,9
14.10.18,8,20:00,23:00,Culture,,3,5,,tv,friends,"Lila, Matthias",9
14.10.18,9,23:00,23:15,Commuting,outside,2,3,,bike,Friends,Lila,6
14.10.18,10,23:15,23:59,culture,"home, bed",1,2,,iPad,alone,,4
15.10.18,1,08:00,08:10,meditating,"home, bed",4,4,,,alone,,8
15.10.18,2,08:50,09:00,Commuting,outside,4,4,,bike,Alone,,7
15.10.18,3,09:00,12:00,school project,University,4,4,,computer,Class,,7
15.10.18,4,12:00,12:20,Commuting,outside,4,4,,bike,Alone,,8
15.10.18,5,12:30,13:30,Sport,sporthall,4,5,,,sportclass,,9
15.10.18,6,13:30,13:45,Commuting,outside,4,5,,bike,Alone,,9
15.10.18,7,14:00,18:00,School project,University,5,5,,computer,Class,,9
15.10.18,8,18:00,18:25,Commuting,outside,4,5,,bike,Alone,,7
15.10.18,9,19:00,23:00,Talking,friends home,5,5,,food,Friends,Arrigo,9
15.10.18,10,23:00,23:15,Commuting,outside,4,5,,bike,Alone,,8
15.10.18,11,23:15,23:45,Journal,"home, bed",3,5,,journal,Alone,,8
15.10.18,12,23:50,23:59,Meditating,"home, bed",3,5,,nothing,Alone,,8
16.10.18,1,06:30,06:45,Meditating,"home, bed",2,5,,nothing,Alone,,8
16.10.18,2,07:30,09:00,Commuting,outside,2,4,,"train, podcast",alone,,9
16.10.18,3,09:30,11:15,school project,University,1,2,,,class,,2
16.10.18,4,11:30,12:30,school project,University,3,4,,,Class,"Ricardo, Joanne, Gino",8
16.10.18,5,12:30,14:45,Eating,Restaurant,4,5,,food,Class,"Ricardo, Joanne, Gino",9
16.10.18,6,14:45,15:30,commuting,outside,4,5,,walking,Class,"Ricardo, Joanne, Gino",9
16.10.18,7,15:30,16:30,Commuting,,5,4,,"Train, book, phone",Friends,Arrigo,8
16.10.18,8,17:00,18:00,Surfing,"home, bed",1,2,,phone,Alone,,4
16.10.18,9,18:00,18:20,Commuting,,2,3,,tram,Alone,,7
16.10.18,10,18:20,20:00,Party,outside,3,4,Beer,drinks,Class,,8
16.10.18,11,20:00,20:15,Commuting,,3,4,,tram,Alone,,7
16.10.18,12,20:15,22:00,Netflix,"home, Lilas room",2,4,,TV,Friends,Lila,9
17.10.18,1,09:00,09:10,Commuting,outside,4,4,,bike,Alone,,8
17.10.18,2,09:10,12:00,school project,University,4,3,,computer,Class,Larissa,7
17.10.18,3,12:00,13:00,eating,outside,4,4,,food,Class,,8
17.10.18,4,13:00,16:30,school project,university,4,3,,computer,class,larissa,8
17.10.18,5,16:30,16:45,Commuting,outside,4,4,,bike,Alone,,8
17.10.18,6,17:00,18:00,Sport,sporthall,4,4,,,sportclass,,9
17.10.18,7,18:00,18:10,Commuting,outside,3,4,,bike,Alone,,8
17.10.18,8,19:00,20:00,Working,"home, my room",2,2,,computer,Alone,,4
17.10.18,9,20:00,22:00,Netflix,"home, bed",2,4,,computer,Alone,,7
17.10.18,10,22:00,23:00,talking,"home, bed",2,3,,phone,Friends,Arrigo,7
17.10.18,11,23:00,23:59,Surfing,"home, bed",1,2,,phone,Alone,,3
18.10.18,1,00:00,00:30,Surfing,"home, bed",1,2,,phone,Alone,,3
18.10.18,2,08:00,08:10,Commuting,outside,2,3,,bike,Alone,,7
18.10.18,3,08:20,12:30,Working,office,3,3,,computer,co worker,urs,4
18.10.18,4,12:30,13:30,Eating,office,4,4,,food,co worker,daniel,9
18.10.18,5,13:30,17:00,Working,office,5,4,,computer,co worker,urs,6
18.10.18,6,17:00,17:30,errands,supermarket,4,4,,,Alone,,8
18.10.18,7,17:30,17:40,Commuting,outside,3,4,,bike,Alone,,7
18.10.18,8,17:40,18:20,Eating,"home, kitchen",4,4,,,friends,Matthias,8
18.10.18,9,18:20,19:20,school project,"home, kitchen",4,3,,computer,friends,"Lila, Matthias",7
18.10.18,10,20:00,20:15,Commuting,outside,3,4,,bike,friends,"Lila, Matthias",8
18.10.18,11,20:15,22:15,party,outside,5,5,,,friends,,10
18.10.18,12,22:15,23:59,talking,Bar,3,4,Beer,drinks,Friends,"Lila, Matthias",8
19.10.18,1,00:00,01:00,talking,Bar,3,4,Beer,drinks,Friends,"Lila, Matthias",8
19.10.18,2,01:00,01:15,Commuting,outside,2,4,,bike,friends,"Lila, Matthias",9
19.10.18,3,08:50,09:00,Commuting,outside,2,3,,bike,Alone,,6
19.10.18,4,09:00,11:00,school project,University,2,2,,computer,class,"Ricardo, Joanne, Larissa",6
19.10.18,5,11:00,12:00,school project,University,3,5,,phone,friends,"Välu, Nasir",9
19.10.18,6,12:00,13:00,eating,outside,3,4,,food,class,LArissa,8
19.10.18,7,13:00,15:30,school project,university,3,3,,computer,friends,"Ricardo, Joanne, Larissa",7
19.10.18,8,15:30,15:40,Commuting,outside,3,4,,bike,Alone,,7
19.10.18,9,15:40,17:00,household,"home, my room",3,4,,,Alone,,8
19.10.18,10,17:00,18:30,Commuting,outside,1,3,,train,Alone,,6
19.10.18,11,18:30,19:30,talking,home,3,4,,,family,"mom, stepdad",8
19.10.18,12,19:30,20:00,Commuting,outside,3,4,,car,family,"brother, mom, stepdad",8
19.10.18,13,20:00,23:00,Eating,Restaurant,4,5,wine,food,family,"brother, mom, stepdad, stepsis",9
19.10.18,14,23:00,23:30,Commuting,outside,2,3,,car,family,"brother, mom, stepdad",6
19.10.18,15,23:30,23:59,Reading,"home, my room",1,3,,book,Alone,,7
20.10.18,1,00:00,00:30,Reading,"home, my room",1,3,,book,Alone,,7
20.10.18,2,10:00,11:30,Reading,home,4,4,,book,Alone,,8
20.10.18,3,11:50,12:00,commuting,outside,4,4,,walking,Alone,,9
20.10.18,4,12:00,16:00,talking,outside,4,5,,food,Friends,Anina,9
20.10.18,5,17:00,18:30,Commuting,outside,4,5,,"Train, book, phone",Alone,,9
20.10.18,6,18:30,19:15,cooking,Ross home,5,5,,food,Friends,Ross,10
20.10.18,7,19:15,21:00,Talking,Ross home,5,5,,food,Friends,Ross,10
20.10.18,8,21:00,23:59,Culture,Concert Venue,4,4,beer,,Friends,Ross,9
21.10.18,1,00:00,04:00,party,Concert Venue,4,4,beer,,Friends,Ross,9
21.10.18,2,04:00,05:00,talking,Ross home,1,4,,,Friends,Ross,9
21.10.18,3,11:30,14:30,talking,Ross home,3,5,,,Friends,Ross,9
21.10.18,4,15:00,16:30,Commuting,outside,3,5,,"Train, book, phone",Alone,,9
21.10.18,5,17:00,19:15,Cooking,"home, kitchen",4,5,,,Friends,"Lila, Matthias",9
21.10.18,6,19:15,20:00,Eating,"home, kitchen",4,5,,Food,Friends,"Lila, Matthias",10
21.10.18,7,20:00,22:00,Netflix,"home, my room",3,4,,TV,Friends,"Lila, Matthias",7
21.10.18,8,22:00,23:00,Reading,"home, bed",2,4,,book,Alone,,8
21.10.18,9,23:00,23:59,Surfing,"home, bed",1,2,,phone,alone,,3
22.10.18,1,00:00,00:30,Surfing,"home, bed",1,2,,phone,alone,,3
22.10.18,2,07:30,08:00,Meditating,"home, bed",2,4,,,alone,,4
22.10.18,3,08:00,08:45,Reading,"home, kitchen",3,3,,"food, book",alone,,8
22.10.18,4,08:50,09:00,Commuting,outside,3,3,,bike,alone,,7
22.10.18,5,09:00,11:30,school project,university,2,3,,computer,class,larissa,4
22.10.18,6,11:30,11:50,Commuting,outside,3,3,,bike,alone,,7
22.10.18,7,12:00,13:00,Sport,sporthall,3,4,,,sportclass,,9
22.10.18,8,13:00,13:15,Commuting,outside,4,4,,bike,alone,,9
22.10.18,9,13:30,16:45,school project,university,4,4,,computer,class,larissa,7
22.10.18,10,16:45,17:30,Commuting,outside,3,3,,tram,alone,,7
22.10.18,11,17:00,18:00,household,home,3,2,,,alone,,6
22.10.18,12,18:30,19:30,Cooking,"home, kitchen",3,4,,,friends,"Lila, Matthias",8
22.10.18,13,19:30,20:30,Reading,"home, kitchen",3,4,,"food, book",alone,,9
22.10.18,14,20:30,23:00,School project,"home, lilas room",2,3,,"computer, TV",friends,"lila, Matthias, ubah, domi 1+2",8
22.10.18,15,23:00,23:59,Reading,"home, bed",1,3,,book,alone,,7
23.10.18,1,00:00,00:30,surfing,"home, bed",1,2,,phone,alone,,4
23.10.18,2,08:00,08:30,meditating,"home, bed",2,3,,,alone,,6
23.10.18,3,09:00,09:30,Eating,"home, kitchen",3,4,,"food, computer",alone,,9
23.10.18,4,09:30,10:30,school project,"home, kitchen",3,4,,computer,alone,,8
23.10.18,5,10:30,12:00,Commuting,outside,4,4,,train,class,"Ricardo, Joanne",9
23.10.18,6,12:00,14:00,school project,,4,3,,,class,group,8
23.10.18,7,14:00,16:00,school project,outside,4,5,,drone,class,"Ricardo, Joanne",10
23.10.18,8,16:00,17:00,talking,outside,3,5,,food,class,"Ricardo, Joanne",9
23.10.18,9,17:00,19:00,Commuting,outside,3,4,,"train, walking, bike",class,"Ricardo, Joanne",8
23.10.18,10,19:00,21:00,Netflix,"home, my room",3,3,,"computer, food",alone,,7
23.10.18,11,21:00,23:00,talking,"home, my room",2,3,,,friends,arrigo,9
23.10.18,12,23:00,23:59,School project,"home, my room",1,3,,computer,alone,,7
24.10.18,1,00:00,00:30,School project,"home, my room",1,3,,computer,alone,,7
24.10.18,2,00:30,01:00,journal,"home, bed",1,3,,computer,alone,,8
